Question_Code,Question_Text,Country,Answer,Percentage
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last week,8.661281
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last month,20.450004
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last 3 months,25.957780000000003
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last 6 months,20.319694
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last 12 months,10.23369
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,Longer than 12 months ago,14.377552
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last week,
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last month,
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last 3 months,
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last 6 months,
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last 12 months,
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,Longer than 12 months ago,
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,Never,
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last week,7.794803
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last month,30.846103000000003
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last 3 months,21.319121
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last 6 months,17.921386000000002
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last 12 months,9.993338
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,Longer than 12 months ago,12.12525
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last week,6.866667
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last month,16.466666999999998
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last 3 months,27.6
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last 6 months,22.400000000000002
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last 12 months,9.733333
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,Longer than 12 months ago,16.933333
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last week,13.790806
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last month,18.720853
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last 3 months,22.251832
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last 6 months,15.056629
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last 12 months,10.393070999999999
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,Longer than 12 months ago,19.786808999999998
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last week,10.079839999999999
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last month,41.217565
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last 3 months,32.934132
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last 6 months,10.179641
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last 12 months,4.091816000000001
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,Longer than 12 months ago,1.497006
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last week,5.394605
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last month,18.981019
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last 3 months,31.668332
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last 6 months,25.274724999999997
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last 12 months,7.992008
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,Longer than 12 months ago,10.689311
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last week,12.163509
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last month,22.931206
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last 3 months,27.617149
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last 6 months,20.139581
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last 12 months,8.773679
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,Longer than 12 months ago,8.374875
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last week,11.600000000000001
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last month,12.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last 3 months,19.6
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last 6 months,21.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last 12 months,18.8
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,Longer than 12 months ago,17.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last week,5.389222
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last month,12.37525
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last 3 months,29.840318999999997
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last 6 months,26.946108000000002
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last 12 months,9.481038
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,Longer than 12 months ago,15.968064000000002
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last week,5.194805000000001
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last month,15.184814999999999
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last 3 months,27.172826999999998
