Question_Code,Question_Text,Country,Answer,Percentage
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last week,0.08661281000000001
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last month,0.20450004
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last 3 months,0.2595778
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last 6 months,0.20319694
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,In the last 12 months,0.1023369
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,Longer than 12 months ago,0.14377552
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",Total,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last week,0.07794803
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last month,0.30846103
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last 3 months,0.21319121
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last 6 months,0.17921386
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,In the last 12 months,0.09993338
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,Longer than 12 months ago,0.1212525
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",SG,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last week,0.06866667
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last month,0.16466667
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last 3 months,0.276
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last 6 months,0.224
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,In the last 12 months,0.09733333
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,Longer than 12 months ago,0.16933333
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UK,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last week,0.13790806
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last month,0.18720853
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last 3 months,0.22251832
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last 6 months,0.15056629
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,In the last 12 months,0.10393071
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,Longer than 12 months ago,0.19786809
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",US,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last week,0.1007984
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last month,0.41217565
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last 3 months,0.32934132
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last 6 months,0.10179641
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,In the last 12 months,0.04091816
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,Longer than 12 months ago,0.01497006
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",CN,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last week,0.05394605
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last month,0.18981019
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last 3 months,0.31668332
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last 6 months,0.25274725
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,In the last 12 months,0.07992008
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,Longer than 12 months ago,0.10689311
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",KR,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last week,0.12163509
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last month,0.22931206
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last 3 months,0.27617149
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last 6 months,0.20139581
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,In the last 12 months,0.08773679
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,Longer than 12 months ago,0.08374875
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last week,0.116
