Question_Code,Country,Adjective,Rating_Level,Percentage
QDescribe_B,Relaxing,Total (A),Does not at all describe my vacation,0.57024697
QDescribe_B,Relaxing,Total (A),Partially describes my vacation,0.0583644
QDescribe_B,Relaxing,Total (A),Describes my vacation perfectly,0.21411929
QDescribe_B,Relaxing,SG (B),Does not at all describe my vacation,0.69919633
QDescribe_B,Relaxing,SG (B),Partially describes my vacation,0.07462687
QDescribe_B,Relaxing,SG (B),Describes my vacation perfectly,0.1836969
QDescribe_B,Relaxing,UK (C),Does not at all describe my vacation,0.57280385
QDescribe_B,Relaxing,UK (C),Partially describes my vacation,0.0589651
QDescribe_B,Relaxing,UK (C),Describes my vacation perfectly,0.2166065
QDescribe_B,Relaxing,US (D),Does not at all describe my vacation,0.53584906
QDescribe_B,Relaxing,US (D),Partially describes my vacation,0.08553459000000001
QDescribe_B,Relaxing,US (D),Describes my vacation perfectly,0.2490566
QDescribe_B,Relaxing,CN (E),Does not at all describe my vacation,0.50455927
QDescribe_B,Relaxing,CN (E),Partially describes my vacation,0.0212766
QDescribe_B,Relaxing,CN (E),Describes my vacation perfectly,0.14387031
QDescribe_B,Relaxing,KR (F),Does not at all describe my vacation,0.59619687
QDescribe_B,Relaxing,KR (F),Partially describes my vacation,0.03914989
QDescribe_B,Relaxing,KR (F),Describes my vacation perfectly,0.08836689
QDescribe_B,Relaxing,UAE (G),Does not at all describe my vacation,0.45484222
QDescribe_B,Relaxing,UAE (G),Partially describes my vacation,0.05875952
QDescribe_B,Relaxing,UAE (G),Describes my vacation perfectly,0.34276387
QDescribe_B,Relaxing,BR (H),Does not at all describe my vacation,0.6228915700000001
QDescribe_B,Relaxing,BR (H),Partially describes my vacation,0.04939759
QDescribe_B,Relaxing,BR (H),Describes my vacation perfectly,0.25662651
QDescribe_B,Relaxing,FR (I),Does not at all describe my vacation,0.49168646
QDescribe_B,Relaxing,FR (I),Partially describes my vacation,0.05344418
QDescribe_B,Relaxing,FR (I),Describes my vacation perfectly,0.20902613
QDescribe_B,Relaxing,DE (J),Does not at all describe my vacation,0.6269938700000001
QDescribe_B,Relaxing,DE (J),Partially describes my vacation,0.06871166
QDescribe_B,Relaxing,DE (J),Describes my vacation perfectly,0.2196319
QDescribe_B,Relaxing,AU (K),Does not at all describe my vacation,0.61625
QDescribe_B,Relaxing,AU (K),Partially describes my vacation,0.08375
QDescribe_B,Relaxing,AU (K),Describes my vacation perfectly,0.245
QDescribe_B,Tame,Total (A),Does not at all describe my vacation,0.09203169000000001
QDescribe_B,Tame,Total (A),Partially describes my vacation,0.23392358
QDescribe_B,Tame,Total (A),Describes my vacation perfectly,0.2000233
QDescribe_B,Tame,SG (B),Does not at all describe my vacation,0.03559127
QDescribe_B,Tame,SG (B),Partially describes my vacation,0.33524684
QDescribe_B,Tame,SG (B),Describes my vacation perfectly,0.26636051
QDescribe_B,Tame,UK (C),Does not at all describe my vacation,0.04693141
QDescribe_B,Tame,UK (C),Partially describes my vacation,0.19133574
QDescribe_B,Tame,UK (C),Describes my vacation perfectly,0.14320096
QDescribe_B,Tame,US (D),Does not at all describe my vacation,0.07798742
QDescribe_B,Tame,US (D),Partially describes my vacation,0.17610063
QDescribe_B,Tame,US (D),Describes my vacation perfectly,0.22264151
QDescribe_B,Tame,CN (E),Does not at all describe my vacation,0.02026342
QDescribe_B,Tame,CN (E),Partially describes my vacation,0.26342452
QDescribe_B,Tame,CN (E),Describes my vacation perfectly,0.25227964
QDescribe_B,Tame,KR (F),Does not at all describe my vacation,0.0458613
QDescribe_B,Tame,KR (F),Partially describes my vacation,0.2393736
QDescribe_B,Tame,KR (F),Describes my vacation perfectly,0.10290828
QDescribe_B,Tame,UAE (G),Does not at all describe my vacation,0.11425462
QDescribe_B,Tame,UAE (G),Partially describes my vacation,0.22198041
QDescribe_B,Tame,UAE (G),Describes my vacation perfectly,0.3297061999999999
QDescribe_B,Tame,BR (H),Does not at all describe my vacation,0.09638553999999999
QDescribe_B,Tame,BR (H),Partially describes my vacation,0.21084337
QDescribe_B,Tame,BR (H),Describes my vacation perfectly,0.22650602
QDescribe_B,Tame,FR (I),Does not at all describe my vacation,0.38123515
QDescribe_B,Tame,FR (I),Partially describes my vacation,0.24703088
QDescribe_B,Tame,FR (I),Describes my vacation perfectly,0.13776722
QDescribe_B,Tame,DE (J),Does not at all describe my vacation,0.03680982
QDescribe_B,Tame,DE (J),Partially describes my vacation,0.27484663
QDescribe_B,Tame,DE (J),Describes my vacation perfectly,0.14846626
QDescribe_B,Tame,AU (K),Does not at all describe my vacation,0.07625
QDescribe_B,Tame,AU (K),Partially describes my vacation,0.165
QDescribe_B,Tame,AU (K),Describes my vacation perfectly,0.15
QDescribe_B,Luxurious,Total (A),Does not at all describe my vacation,0.13769804
QDescribe_B,Luxurious,Total (A),Partially describes my vacation,0.25209692
QDescribe_B,Luxurious,Total (A),Describes my vacation perfectly,0.49965051
QDescribe_B,Luxurious,SG (B),Does not at all describe my vacation,0.10447761
QDescribe_B,Luxurious,SG (B),Partially describes my vacation,0.3880597
QDescribe_B,Luxurious,SG (B),Describes my vacation perfectly,0.55453502
QDescribe_B,Luxurious,UK (C),Does not at all describe my vacation,0.16967509
QDescribe_B,Luxurious,UK (C),Partially describes my vacation,0.25872443
QDescribe_B,Luxurious,UK (C),Describes my vacation perfectly,0.52587244
