Country,Statement_Code,Statement_Text,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agreement
"Total,A,""I love going on vacations, it is one of the things I look forward to the most (A)"",2.4,3.8,14.9,43.9,35.0,78.9"
Total,B,I find that vacations can be stressful and not always enjoyable (B),12.9,24.9,23.3,29.6,9.3,38.900000000000006
Total,C,I really enjoy vacations that involved activities and new experiences (C),2.4,5.6,17.9,45.6,28.5,74.1
"Total,D,""For me, vacations are all about relaxing and chilling out (D)"",1.9,4.9,13.1,46.3,33.8,80.1"
Total,E,I like to take risks and go to rarely visited locations on vacation (E),10.0,21.8,25.8,29.9,12.6,42.5
Total,F,I prefer to return to familiar or trusted locations on vacation (F),2.4,9.9,27.9,41.9,17.9,59.8
Total,G,I'm conscious of the environmental costs of travelling on vacation (G),3.8,9.7,23.8,45.0,17.6,62.6
Total,H,I'd love to be able to travel in style when going on vacation (H),2.8,7.3,22.5,42.8,24.5,67.3
"SG,A,""I love going on vacations, it is one of the things I look forward to the most (A)"",1.5,2.4,12.0,42.4,41.7,84.1"
SG,B,I find that vacations can be stressful and not always enjoyable (B),6.7,34.5,24.0,27.8,7.1,34.9
SG,C,I really enjoy vacations that involved activities and new experiences (C),0.9,2.6,14.0,48.8,33.6,82.4
"SG,D,""For me, vacations are all about relaxing and chilling out (D)"",0.7,1.5,7.8,49.0,41.0,90.0"
SG,E,I like to take risks and go to rarely visited locations on vacation (E),4.8,19.5,28.0,38.4,9.3,47.7
SG,F,I prefer to return to familiar or trusted locations on vacation (F),1.5,7.9,29.0,37.6,24.0,61.6
SG,G,I'm conscious of the environmental costs of travelling on vacation (G),2.5,8.4,25.7,52.9,10.5,63.4
SG,H,I'd love to be able to travel in style when going on vacation (H),1.5,7.6,22.6,40.8,27.5,68.3
"UK,A,""I love going on vacations, it is one of the things I look forward to the most (A)"",4.3,5.4,18.3,42.5,29.5,72.0"
UK,B,I find that vacations can be stressful and not always enjoyable (B),13.8,29.1,25.3,24.7,7.1,31.799999999999997
UK,C,I really enjoy vacations that involved activities and new experiences (C),4.1,9.3,24.5,41.9,20.3,62.2
"UK,D,""For me, vacations are all about relaxing and chilling out (D)"",3.7,6.7,19.3,46.2,24.1,70.30000000000001"
UK,E,I like to take risks and go to rarely visited locations on vacation (E),12.1,25.9,29.3,23.0,9.6,32.6
UK,F,I prefer to return to familiar or trusted locations on vacation (F),3.7,13.1,32.2,39.0,12.0,51.0
UK,G,I'm conscious of the environmental costs of travelling on vacation (G),6.7,12.7,27.5,38.5,14.5,53.0
UK,H,I'd love to be able to travel in style when going on vacation (H),3.7,7.1,25.1,43.3,20.7,64.0
"US,A,""I love going on vacations, it is one of the things I look forward to the most (A)"",2.9,4.7,15.7,45.7,30.9,76.6"
US,B,I find that vacations can be stressful and not always enjoyable (B),10.3,22.3,22.7,29.2,15.5,44.7
US,C,I really enjoy vacations that involved activities and new experiences (C),3.1,4.4,14.8,49.0,28.7,77.7
"US,D,""For me, vacations are all about relaxing and chilling out (D)"",2.7,5.5,12.0,49.0,30.8,79.8"
US,E,I like to take risks and go to rarely visited locations on vacation (E),10.9,20.3,23.5,29.2,16.2,45.4
US,F,I prefer to return to familiar or trusted locations on vacation (F),2.5,7.4,24.2,46.8,19.2,66.0
US,G,I'm conscious of the environmental costs of travelling on vacation (G),5.5,11.5,22.1,42.1,18.7,60.8
US,H,I'd love to be able to travel in style when going on vacation (H),3.3,6.4,19.7,44.3,26.4,70.69999999999999
"CN,A,""I love going on vacations, it is one of the things I look forward to the most (A)"",0.0,1.0,8.3,50.6,40.1,90.7"
CN,B,I find that vacations can be stressful and not always enjoyable (B),20.3,24.6,14.6,28.2,12.4,40.6
